year,state_po,candidate,party,electors
1992,NJ,"Clinton, Bill",democrat,7
1992,NJ,"Bush, George H.W.",republican,6
1992,NJ,"Perot, Ross",independent,2
1992,NM,"Clinton, Bill",democrat,2
1992,NM,"Bush, George H.W.",republican,2
1992,NM,"Perot, Ross",independent,1
1992,NY,"Clinton, Bill",democrat,18
1992,NY,"Bush, George H.W.",republican,10
1992,NY,"Perot, Ross",independent,5
1992,NC,"Bush, George H.W.",republican,6
1992,NC,"Clinton, Bill",democrat,6
1992,NC,"Perot, Ross",independent,2
1992,ND,"Bush, George H.W.",republican,1
1992,ND,"Clinton, Bill",democrat,1
1992,ND,"Perot, Ross",independent,1
1992,OH,"Clinton, Bill",democrat,9
1992,OH,"Bush, George H.W.",republican,8
1992,OH,"Perot, Ross",independent,4
1992,OK,"Bush, George H.W.",republican,3
1992,OK,"Clinton, Bill",democrat,3
1992,OK,"Perot, Ross",independent,2
1992,OR,"Clinton, Bill",democrat,3
1992,OR,"Bush, George H.W.",republican,2
1992,OR,"Perot, Ross",independent,2
1992,PA,"Clinton, Bill",democrat,11
1992,PA,"Bush, George H.W.",republican,8
1992,PA,"Perot, Ross",independent,4
1992,RI,"Clinton, Bill",democrat,2
1992,RI,"Bush, George H.W.",republican,1
1992,RI,"Perot, Ross",independent,1
1992,SC,"Bush, George H.W.",republican,4
1992,SC,"Clinton, Bill",democrat,4
1992,SD,"Bush, George H.W.",republican,1
1992,SD,"Clinton, Bill",democrat,1
1992,SD,"Perot, Ross",independent,1
1992,TN,"Clinton, Bill",democrat,5
1992,TN,"Bush, George H.W.",republican,5
1992,TN,"Perot, Ross",independent,1
1992,TX,"Bush, George H.W.",republican,13
1992,TX,"Clinton, Bill",democrat,12
1992,TX,"Perot, Ross",independent,7
1992,UT,"Bush, George H.W.",republican,3
1992,UT,"Perot, Ross",independent,1
1992,UT,"Clinton, Bill",democrat,1
1992,VT,"Clinton, Bill",democrat,2
1992,VT,"Bush, George H.W.",republican,1
1992,VT,"Perot, Ross",independent,0
1992,VA,"Bush, George H.W.",republican,6
1992,VA,"Clinton, Bill",democrat,5
1992,VA,"Perot, Ross",independent,2
1992,WA,"Clinton, Bill",democrat,5
1992,WA,"Bush, George H.W.",republican,4
1992,WA,"Perot, Ross",independent,2
1992,WV,"Clinton, Bill",democrat,3
1992,WV,"Bush, George H.W.",republican,2
1992,WV,"Perot, Ross",independent,0
1992,WI,"Clinton, Bill",democrat,5
1992,WI,"Bush, George H.W.",republican,4
1992,WI,"Perot, Ross",independent,2
1992,WY,"Bush, George H.W.",republican,1
1992,WY,"Clinton, Bill",democrat,1
1992,WY,"Perot, Ross",independent,1
1996,AL,"Dole, Robert",republican,5
1996,AL,"Clinton, Bill",democrat,4
1996,AK,"Dole, Robert",republican,2
1996,AK,"Clinton, Bill",democrat,1
1996,AK,"Perot, Ross",reform party,0
1996,AZ,"Clinton, Bill",democrat,4
1996,AZ,"Dole, Robert",republican,4
1996,AR,"Clinton, Bill",democrat,4
1996,AR,"Dole, Robert",republican,2
1996,CA,"Clinton, Bill",democrat,31
1996,CA,"Dole, Robert",republican,23
1996,CO,"Dole, Robert",republican,4
1996,CO,"Clinton, Bill",democrat,4
1996,CT,"Clinton, Bill",democrat,5
1996,CT,"Dole, Robert",republican,3
1996,CT,"Perot, Ross",reform party,0
1996,DE,"Clinton, Bill",democrat,2
1996,DE,"Dole, Robert",republican,1
1996,DE,"Perot, Ross",unaffiliated,0
1996,DC,"Clinton, Bill",democrat,3
1996,FL,"Clinton, Bill",democrat,13
1996,FL,"Dole, Robert",republican,12
1996,GA,"Dole, Robert",republican,7
1996,GA,"Clinton, Bill",democrat,6
1996,HI,"Clinton, Bill",democrat,3
1996,HI,"Dole, Robert",republican,1
1996,ID,"Dole, Robert",republican,3
1996,ID,"Clinton, Bill",democrat,1
1996,ID,"Perot, Ross",reform party,0
1996,IL,"Clinton, Bill",democrat,13
1996,IL,"Dole, Robert",republican,9
1996,IN,"Dole, Robert",republican,6
1996,IN,"Clinton, Bill",democrat,5
1996,IN,"Perot, Ross",reform party,1
1996,IA,"Clinton, Bill",democrat,4
1996,IA,"Dole, Robert",republican,3
1996,KS,"Dole, Robert",republican,4
1996,KS,"Clinton, Bill",democrat,2
1996,KY,"Clinton, Bill",democrat,4
1996,KY,"Dole, Robert",republican,4
1996,LA,"Clinton, Bill",democrat,5
1996,LA,"Dole, Robert",republican,4
1996,ME,"Clinton, Bill",democrat,3
1996,ME,"Dole, Robert",republican,1
1996,ME,"Perot, Ross",reform party,0
1996,MD,"Clinton, Bill",democrat,6
1996,MD,"Dole, Robert",republican,4
1996,MA,"Clinton, Bill",democrat,8
1996,MA,"Dole, Robert",republican,4
1996,MI,"Clinton, Bill",democrat,10
1996,MI,"Dole, Robert",republican,8
1996,MN,"Clinton, Bill",democrat,5
1996,MN,"Dole, Robert",republican,4
1996,MN,"Perot, Ross",reform party,1
1996,MS,"Dole, Robert",republican,4
1996,MS,"Clinton, Bill",democrat,3
1996,MO,"Clinton, Bill",democrat,5
1996,MO,"Dole, Robert",republican,5
1996,MO,"Perot, Ross",reform party,1
1996,MT,"Dole, Robert",republican,2
1996,MT,"Clinton, Bill",democrat,1
1996,MT,"Perot, Ross",reform party,0
1996,NE,"Dole, Robert",republican,3
1996,NE,"Clinton, Bill",democrat,2
1996,NE,"Perot, Ross",reform party,0
